MiniDOT Logger Concatenated Data File
Sensor:             7450-213127
Concatenation Date: 2023Aug09 10:54:34 AST

DO concentration compensated for salinity: 40.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,          Arabia Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1690187460,           2023-07-24 08:31:00,           2023-07-24 11:31:00,      3.500000,     22.120000,          6.706632,                    97.007042,      0.915000
                1690188060,           2023-07-24 08:41:00,           2023-07-24 11:41:00,      3.500000,     23.049000,          6.613993,                    97.225648,      0.916000
                1690188660,           2023-07-24 08:51:00,           2023-07-24 11:51:00,      3.510000,     24.389000,          6.482298,                    97.500128,      0.916000
                1690189260,           2023-07-24 09:01:00,           2023-07-24 12:01:00,      3.500000,     25.204000,          6.400051,                    97.594685,      0.917000
                1690189860,           2023-07-24 09:11:00,           2023-07-24 12:11:00,      3.500000,     25.870000,          6.323927,                    97.511627,      0.916000
                1690190460,           2023-07-24 09:21:00,           2023-07-24 12:21:00,      3.500000,     26.563000,          6.264576,                    97.709939,      0.917000
                1690191060,           2023-07-24 09:31:00,           2023-07-24 12:31:00,      3.500000,     27.215000,          6.198210,                    97.713774,      0.917000
                1690191660,           2023-07-24 09:41:00,           2023-07-24 12:41:00,      3.500000,     27.819000,          6.152771,                    97.955095,      0.918000
                1690192260,           2023-07-24 09:51:00,           2023-07-24 12:51:00,      3.500000,     29.505000,          6.003985,                    98.206929,      0.917000
                1690192860,           2023-07-24 10:01:00,           2023-07-24 13:01:00,      3.500000,     30.957000,          5.888929,                    98.554231,      0.917000
                1690193460,           2023-07-24 10:11:00,           2023-07-24 13:11:00,      3.500000,     29.901000,          5.989834,                    98.592312,      0.918000
                1690194060,           2023-07-24 10:21:00,           2023-07-24 13:21:00,      3.500000,     28.578000,          6.103799,                    98.372450,      0.918000
                1690194660,           2023-07-24 10:31:00,           2023-07-24 13:31:00,      3.500000,     27.487000,          6.210403,                    98.341021,      0.918000
                1690195260,           2023-07-24 10:41:00,           2023-07-24 13:41:00,      3.510000,     26.605000,          6.287342,                    98.132852,      0.918000
                1690195860,           2023-07-24 10:51:00,           2023-07-24 13:51:00,      3.510000,     25.811000,          6.364001,                    98.033379,      0.918000
                1690196460,           2023-07-24 11:01:00,           2023-07-24 14:01:00,      3.510000,     25.204000,          6.417577,                    97.861935,      0.917000
                1690197060,           2023-07-24 11:11:00,           2023-07-24 14:11:00,      3.510000,     24.582000,          6.480359,                    97.789961,      0.917000
                1690197660,           2023-07-24 11:21:00,           2023-07-24 14:21:00,      3.510000,     24.104000,          6.526188,                    97.686246,      0.917000
                1690198260,           2023-07-24 11:31:00,           2023-07-24 14:31:00,      3.510000,     23.593000,          6.578684,                    97.616253,      0.917000
                1690198860,           2023-07-24 11:41:00,           2023-07-24 14:41:00,      3.510000,     23.241000,          6.616120,                    97.579627,      0.917000
                1690199460,           2023-07-24 11:51:00,           2023-07-24 14:51:00,      3.510000,     22.814000,          6.662164,                    97.536252,      0.917000
                1690200060,           2023-07-24 12:01:00,           2023-07-24 15:01:00,      3.520000,     22.513000,          6.695257,                    97.509455,      0.917000
                1690200660,           2023-07-24 12:11:00,           2023-07-24 15:11:00,      3.520000,     22.187000,          6.724044,                    97.373048,      0.917000
                1690201260,           2023-07-24 12:21:00,           2023-07-24 15:21:00,      3.510000,     21.945000,          6.748201,                    97.309213,      0.917000
                1690201860,           2023-07-24 12:31:00,           2023-07-24 15:31:00,      3.520000,     21.677000,          6.772019,                    97.193277,      0.917000
                1690202460,           2023-07-24 12:41:00,           2023-07-24 15:41:00,      3.520000,     21.451000,          6.803416,                    97.254956,      0.917000
                1690203060,           2023-07-24 12:51:00,           2023-07-24 15:51:00,      3.520000,     21.259000,          6.821727,                    97.185568,      0.916000
                1690203660,           2023-07-24 13:01:00,           2023-07-24 16:01:00,      3.510000,     21.050000,          6.839022,                    97.070778,      0.916000
                1690204260,           2023-07-24 13:11:00,           2023-07-24 16:11:00,      3.510000,     20.883000,          6.867079,                    97.179365,      0.917000
                1690204860,           2023-07-24 13:21:00,           2023-07-24 16:21:00,      3.520000,     20.732000,          6.876330,                    97.048145,      0.916000
                1690205460,           2023-07-24 13:31:00,           2023-07-24 16:31:00,      3.520000,     20.473000,          6.911129,                    97.087617,      0.917000
                1690206060,           2023-07-24 13:41:00,           2023-07-24 16:41:00,      3.520000,     20.297000,          6.917669,                    96.872452,      0.916000
                1690206660,           2023-07-24 13:51:00,           2023-07-24 16:51:00,      3.520000,     20.155000,          6.945941,                    97.019726,      0.916000
                1690207260,           2023-07-24 14:01:00,           2023-07-24 17:01:00,      3.520000,     20.071000,          6.948853,                    96.913293,      0.916000
                1690207860,           2023-07-24 14:11:00,           2023-07-24 17:11:00,      3.520000,     19.937000,          6.971670,                    96.996149,      0.916000
                1690208460,           2023-07-24 14:21:00,           2023-07-24 17:21:00,      3.520000,     19.895000,          6.974305,                    96.959032,      0.916000
                1690209060,           2023-07-24 14:31:00,           2023-07-24 17:31:00,      3.520000,     19.744000,          6.993733,                    96.963179,      0.916000
                1690209660,           2023-07-24 14:41:00,           2023-07-24 17:41:00,      3.520000,     19.703000,          6.998744,                    96.960407,      0.916000
                1690210260,           2023-07-24 14:51:00,           2023-07-24 17:51:00,      3.520000,     19.635000,          6.999468,                    96.850633,      0.916000
                1690210860,           2023-07-24 15:01:00,           2023-07-24 18:01:00,      3.520000,     19.594000,          7.006055,                    96.869468,      0.916000
                1690211460,           2023-07-24 15:11:00,           2023-07-24 18:11:00,      3.520000,     19.635000,          7.001047,                    96.872471,      0.916000
                1690212060,           2023-07-24 15:21:00,           2023-07-24 18:21:00,      3.520000,     19.677000,          6.994471,                    96.855440,      0.916000
                1690212660,           2023-07-24 15:31:00,           2023-07-24 18:31:00,      3.520000,     19.686000,          6.996163,                    96.894710,      0.916000
                1690213260,           2023-07-24 15:41:00,           2023-07-24 18:41:00,      3.520000,     19.686000,          6.999319,                    96.938431,      0.916000
                1690213860,           2023-07-24 15:51:00,           2023-07-24 18:51:00,      3.520000,     19.635000,          7.001047,                    96.872471,      0.916000
                1690214460,           2023-07-24 16:01:00,           2023-07-24 19:01:00,      3.520000,     19.610000,          7.011780,                    96.976860,      0.917000
                1690215060,           2023-07-24 16:11:00,           2023-07-24 19:11:00,      3.520000,     19.577000,          7.005841,                    96.836536,      0.915000
                1690215660,           2023-07-24 16:21:00,           2023-07-24 19:21:00,      3.520000,     19.535000,          7.020302,                    96.962227,      0.916000
